Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Season
NYCFC,Iraola,Andoni,D,"$200,004","$200,004.00",2015
NYRB,Veron,Gonzalo,M-F,"$200,004","$200,004.00",2015
SJ,Wynne,Marvell,D,"$190,000","$200,625.00",2015
SEA,Ivanschitz,Andreas,M,"$180,000","$201,250.00",2015
COL,Cronin,Sam,M,"$200,000","$202,500.00",2015
LA,DeLaGarza,AJ,D,"$200,000","$202,500.00",2015
SEA,Friberg,Erik,M,"$180,000","$202,500.00",2015
SJ,Godoy,Anibal,M,"$204,000","$204,000.00",2015
LA,Dunivant,Todd,D,"$185,000","$205,750.00",2015
RSL,Beltran,Anthony,D,"$195,000","$205,950.00",2015
NYRB,Martins,Felipe,M,"$175,000","$207,500.00",2015
COL,Pittinari,Lucas,M,"$190,000","$210,000.00",2015
NYCFC,Mena,Jefferson,D,"$200,000","$211,400.00",2015
DC,Arnaud,Davy,M,"$212,500","$212,500.00",2015
HOU,Taylor,Jermaine,D,"$203,500","$213,000.00",2015
NYCFC,Grabavoy,Ned,M,"$200,000","$215,000.00",2015
